member_id,member_name,phone,transaction_date,amount
M001,Ahmad Fauzi,081234567890,2025-01-15,50000
M002,Siti Nurhaliza,082345678901,2025-01-16,125000
M003,Budi Santoso,083456789012,2025-01-17,75000
M001,Ahmad Fauzi,081234567890,2025-01-18,100000
M004,Dewi Lestari,085678901234,2025-01-19,250000
M002,Siti Nurhaliza,082345678901,2025-01-20,80000
M005,Eko Prasetyo,087890123456,2025-01-21,45000
M003,Budi Santoso,083456789012,2025-01-22,150000
M001,Ahmad Fauzi,081234567890,2025-01-23,60000
M004,Dewi Lestari,085678901234,2025-01-24,300000
M006,Fitri Handayani,089012345678,2025-01-25,90000
M002,Siti Nurhaliza,082345678901,2025-01-26,110000
M005,Eko Prasetyo,087890123456,2025-01-27,55000
M007,Gunawan Wijaya,081122334455,2025-01-28,180000
M003,Budi Santoso,083456789012,2025-01-29,95000
M004,Dewi Lestari,085678901234,2025-01-30,200000
M006,Fitri Handayani,089012345678,2025-02-01,120000
M008,Hendra Kurniawan,082233445566,2025-02-02,65000
M001,Ahmad Fauzi,081234567890,2025-02-03,85000
M007,Gunawan Wijaya,081122334455,2025-02-04,140000
