member_id,member_name,phone,transaction_date,amount
M0001,Ahmad Fauzi,081234567890,2026-08-01,50000
M0002,Siti Nurhaliza,082345678901,2026-08-02,125000
M0003,Budi Santoso,083456789012,2026-08-03,75000
M0001,Ahmad Fauzi,081234567890,2026-08-04,100000
M0004,Dewi Lestari,085678901234,2026-08-05,250000
M0002,Siti Nurhaliza,082345678901,2026-08-06,80000
M0005,Eko Prasetyo,087890123456,2026-08-07,45000
M0003,Budi Santoso,083456789012,2026-08-08,150000
M0001,Ahmad Fauzi,081234567890,2026-08-09,60000
M0004,Dewi Lestari,085678901234,2026-08-10,300000
M0006,Fitri Handayani,089012345678,2026-08-10,90000
M0002,Siti Nurhaliza,082345678901,2026-08-11,110000
M0005,Eko Prasetyo,087890123456,2026-08-11,55000
M0007,Gunawan Wijaya,081122334455,2026-08-11,180000
