member_id,member_name,transaction_date,amount
M0001,Ahmad Fauzi,2026-08-01,50000
M0002,Siti Nurhaliza,2026-08-02,125000
M0003,Budi Santoso,2026-08-03,75000
M0001,Ahmad Fauzi,2026-08-04,100000
M0004,Dewi Lestari,2026-08-05,250000
M0002,Siti Nurhaliza,2026-08-06,80000
M0005,Eko Prasetyo,2026-08-07,45000
M0003,Budi Santoso,2026-08-08,150000
M0001,Ahmad Fauzi,2026-08-09,60000
M0004,Dewi Lestari,2026-08-10,300000
M0006,Fitri Handayani,2026-08-10,90000
M0002,Siti Nurhaliza,2026-08-11,110000
M0005,Eko Prasetyo,2026-08-11,55000
M0007,Gunawan Wijaya,2026-08-11,180000
