member_id,member_name,phone,transaction_date,amount
M0001,Ahmad Fauzi,081234567890,2026-09-01,150000
M0002,Siti Nurhaliza,082345678901,2026-09-01,275000
M0003,Budi Santoso,083456789012,2026-09-01,85000
M0004,Dewi Lestari,085678901234,2026-09-01,350000
M0005,Eko Prasetyo,087890123456,2026-09-01,120000
M0006,Fitri Handayani,089012345678,2026-09-01,95000
M0007,Gunawan Wijaya,081122334455,2026-09-01,210000
M0008,Hendra Pratama,081299887766,2026-09-01,180000
M0009,Indah Permata,085711223344,2026-09-01,420000
M0010,Joko Susilo,081377889900,2026-09-01,65000
M0001,Ahmad Fauzi,081234567890,2026-09-01,110000
M0003,Budi Santoso,083456789012,2026-09-01,195000
M0004,Dewi Lestari,085678901234,2026-09-01,240000
M0009,Indah Permata,085711223344,2026-09-01,310000
M0002,Siti Nurhaliza,082345678901,2026-09-01,160000
